Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Master_Swing,Candle No.,Slope,Price Delta,H-L,H-C,L-C,TR,ATR,Impluse Strength,Intermediate_Swing,ISL_Price,ISH_Price,ISH_Price_Ffill,ISL_Price_Ffill,Breaker_Signal,Bearish BOS,Bullish BOS,ISL Sweep,ISH Sweep,ISL Sweep Strength,ISH Sweep Strength,ISL_Sweep+BOS,ISH_Sweep+BOS,FVG_Bullish,FVG_Bearish,FVG_Bullish_Strength,FVG_Bearish_Strength,Swing_Low_value,Proximity_to_ISL
2026-04-07 15:15:00+05:30,505.45001220703125,505.45001220703125,502.3500061035156,504.1499938964844,861984,0.0,0.0,Swing Low,81,Sell Slope,3.2249908447265625,3.100006103515625,0.0,-3.100006103515625,3.100006103515625,5.371429443359375,0.5773639997221418,,,,512.0,468.20001220703125,False,False,False,False,False,,,False,False,True,False,0.5771287021833863,,502.3500061035156,False
2026-04-08 09:15:00+05:30,531.6500244140625,533.0,521.5,526.9500122070312,0,0.0,0.0,,80,,,11.5,28.850006103515625,17.350006103515625,28.850006103515625,7.321428571428571,,,,,512.0,468.20001220703125,,,,False,True,,1.5707317073170732,False,False,True,False,1.5707317073170732,,,False
2026-04-08 10:15:00+05:30,526.75,533.4500122070312,526.5999755859375,532.4000244140625,1849871,0.0,0.0,Swing High,79,Buy Slope,1.5500030517578125,6.85003662109375,6.5,-0.35003662109375,6.85003662109375,7.335719517299107,0.28856435109169315,Intermediate Swing High,,533.4500122070312,533.4500122070312,468.20001220703125,False,False,True,False,False,,,False,True,False,False,,,,False
2026-04-08 11:15:00+05:30,532.2999877929688,533.2000122070312,527.5,528.9000244140625,946026,0.0,0.0,,78,,,5.70001220703125,0.79998779296875,-4.9000244140625,5.70001220703125,7.671434674944196,,,,,533.4500122070312,468.20001220703125,,,,False,False,,,False,False,False,False,,,,False
2026-04-08 12:15:00+05:30,529.25,530.0,526.0999755859375,526.2000122070312,534750,0.0,0.0,,77,,,3.9000244140625,1.0999755859375,-2.800048828125,3.9000244140625,7.892865862165179,,,,,533.4500122070312,468.20001220703125,,,,False,False,,,False,False,False,True,,0.4941201943843299,,False
2026-04-08 13:15:00+05:30,526.0999755859375,526.9000244140625,524.0499877929688,525.0999755859375,673755,0.0,0.0,Swing Low,76,Sell Slope,3.1333414713541665,2.85003662109375,0.70001220703125,-2.1500244140625,2.85003662109375,7.914302280970982,0.4271348521389231,,,,533.4500122070312,468.20001220703125,False,False,False,False,False,,,False,False,False,False,,,524.0499877929688,False
2026-04-08 14:15:00+05:30,525.0999755859375,527.7999877929688,524.3499755859375,525.4500122070312,845516,0.0,0.0,,75,,,3.45001220703125,2.70001220703125,-0.75,3.45001220703125,7.814304896763393,,,,,533.4500122070312,468.20001220703125,,,,False,False,,,False,False,False,False,,,,False
2026-04-08 15:15:00+05:30,525.8499755859375,528.0,524.7999877929688,528.0,927298,0.0,0.0,,74,,,3.20001220703125,2.54998779296875,-0.6500244140625,3.20001220703125,7.828591482979911,,,,,533.4500122070312,468.20001220703125,,,,False,False,,,False,False,False,False,,,,False
2026-04-09 09:15:00+05:30,526.2999877929688,532.5499877929688,521.8499755859375,527.8499755859375,0,0.0,0.0,Swing High,73,Buy Slope,0.95001220703125,10.70001220703125,4.54998779296875,-6.1500244140625,10.70001220703125,5.235735212053571,0.12003739221781352,,,,533.4500122070312,468.20001220703125,False,False,False,False,False,,,False,False,False,False,,,,False
2026-04-09 10:15:00+05:30,527.8499755859375,529.4000244140625,526.5,526.9500122070312,512024,0.0,0.0,,72,,,2.9000244140625,1.550048828125,-1.3499755859375,2.9000244140625,4.67144775390625,,,,,533.4500122070312,468.20001220703125,,,,False,False,,,False,False,False,False,,,,False
2026-04-09 11:15:00+05:30,526.9500122070312,527.25,525.0999755859375,525.8499755859375,516954,0.0,0.0,,71,,,2.1500244140625,0.29998779296875,-1.85003662109375,2.1500244140625,4.164306640625,,,,,533.4500122070312,468.20001220703125,,,,False,False,,,False,False,False,True,,0.5162982939555608,,False
2026-04-09 12:15:00+05:30,525.8499755859375,525.9000244140625,521.5999755859375,521.9500122070312,824305,0.0,0.0,,70,,,4.300048828125,0.050048828125,-4.25,4.300048828125,4.221452985491071,,,,,533.4500122070312,468.20001220703125,,,,False,False,,,False,False,False,True,,1.0186181968398225,,False
