trade_idea_id,ticker,first_signal_time,latest_signal_time,signal_count,sweep_low_time,sweep_low_price,first_signal_price,latest_signal_price,latest_signal_high,bull_fvg_lower,bull_fvg_upper,range_50,fvg_50,entry_price,entry_source,entry_model_ready,stop_price,risk,target_1r,target_2r,target_3r,entry_filled,entry_time,entry_delay_candles,stop_hit,stop_time,target_1r_hit,target_1r_time,target_2r_hit,target_2r_time,target_3r_hit,target_3r_time,first_terminal_event,final_status,max_favorable_r,max_adverse_r,best_score,latest_score,best_meter_probability,latest_meter_probability,isl_sweep,protected_lows,bull_fvg_retest,range_quality,range_width_atr,range_age,target_highs,target_distance_atr,deeper_isl_pending,deeper_isl_atr,atr_ratio,fvg_atr,last_updated_at
NAVINFLUOR.NS_1776051900_f3125b23f7fc,NAVINFLUOR.NS,1776062700,1776062700,1,1776051900,6004.0,6242.5,6242.5,6272.0,5840.5,6004.5,6138.0,5922.5,6138.0,range_50,True,6004.0,134.0,6272.0,6406.0,6540.0,False,,,,,,,,,,,,no_entry_yet,,,0.6665,0.6665,0.5097441192492448,0.5097,False,0,True,60.0,6.57,48,0,,True,4.078,1.285,0.308,2026-05-13T09:46:06.264083+00:00
TATACOMM.NS_1776051900_ec4026d20bad,TATACOMM.NS,1776066300,1776066300,1,1776051900,1460.7,1532.0,1532.0,1532.5,,,,,,,False,,,,,,,,,,,,,,,,,,entry_model_unavailable,,,0.6485,0.6485,0.35607815827266875,0.3561,False,0,False,47.5,3.58,21,0,,True,0.488,1.167,0.415,2026-05-13T09:46:06.264083+00:00
DRREDDY.NS_1776051900_d0a075d32fdd,DRREDDY.NS,1776073500,1776073500,1,1776051900,1204.3,1234.0,1234.0,1238.8,,,,,,,False,,,,,,,,,,,,,,,,,,entry_model_unavailable,,,4.691,4.691,0.92,0.92,False,0,False,60.0,7.722,91,0,,True,3.072,1.973,0.765,2026-05-13T09:46:06.264083+00:00
BALKRISIND.NS_1776073500_a99b8db7be9e,BALKRISIND.NS,1776224700,1776224700,1,1776073500,2223.7,2247.0,2247.0,2280.2,,,,,,,False,,,,,,,,,,,,,,,,,,entry_model_unavailable,,,0.1544,0.1544,0.05,0.05,False,0,False,41.2,2.815,13,1,0.334,True,0.266,0.653,0.157,2026-05-13T09:46:06.264083+00:00
BERGEPAINT.NS_1776051900_81ddbc397bbb,BERGEPAINT.NS,1776224700,1776224700,1,1776051900,440.05,464.8,464.8,470.4,437.7,450.4,455.225,444.05,455.225,range_50,True,440.05,15.175,470.4,485.575,500.75,False,,,,,,,,,,,,no_entry_yet,,,1.7451,1.7451,0.7855489501312336,0.7855,False,0,True,50.0,4.644,35,0,,True,1.896,1.877,0.349,2026-05-13T09:46:06.264083+00:00
DABUR.NS_1776073500_e7a7b6896cb1,DABUR.NS,1776224700,1776224700,1,1776073500,423.55,430.0,430.0,432.6,414.7,423.6,428.075,419.15,428.075,range_50,True,423.55,4.525,432.6,437.125,441.65,True,1776329100,12,,,True,1776397500,True,1776401100,True,1776401100,target_1r,target_1r,13.785,-0.823,1.8793,1.8793,0.48250000000000004,0.4825,False,0,True,35.8,3.556,14,1,1.256,True,0.062,0.745,0.714,2026-05-13T09:46:06.264083+00:00
KOTAKBANK.NS_1776059100_d7f84953d719,KOTAKBANK.NS,1776224700,1776224700,1,1776059100,365.6,380.4,380.4,382.8,363.95,372.9,374.2,368.425,374.2,range_50,True,365.6,8.6,382.8,391.4,400.0,True,1776915900,38,True,1777866300,True,1777347900,,,,,target_1r,target_1r,1.436,-1.262,12.1694,12.1694,0.92,0.92,True,1,True,46.7,8.667,23,0,,True,7.598,1.61,2.507,2026-05-13T09:46:06.264083+00:00
TITAN.NS_1776073500_f26b6ef923a4,TITAN.NS,1776224700,1776224700,1,1776073500,4427.3999,4470.1001,4470.1001,4525.5,,,,,,,False,,,,,,,,,,,,,,,,,,entry_model_unavailable,,,0.4503,0.4503,0.19791666666666669,0.1979,False,0,False,32.1,3.323,11,0,,True,0.362,0.765,0.559,2026-05-13T09:46:06.264083+00:00
TORNTPHARM.NS_1776073500_90ed6ee17285,TORNTPHARM.NS,1776224700,1776224700,1,1776073500,4155.6001,4204.0,4204.0,4227.2998,,,,,,,False,,,,,,,,,,,,,,,,,,entry_model_unavailable,,,0.3864,0.3864,0.23,0.12,False,0,False,60.0,7.366,146,0,,True,5.466,0.747,0.202,2026-05-13T09:46:06.264083+00:00
AUROPHARMA.NS_1776073500_d3ad578f41e7,AUROPHARMA.NS,1776231900,1776231900,1,1776073500,1333.4,1369.9,1369.9,1374.8,1331.8,1339.6,1354.1,1335.7,1354.1,range_50,True,1333.4,20.7,1374.8,1395.5,1416.2,False,,,,,,,,,,,,no_entry_yet,,,0.9641,0.9641,0.6159629549844005,0.616,True,1,True,60.0,7.177,41,0,,True,1.453,1.035,0.621,2026-05-13T09:46:06.264083+00:00
